"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
CLEVELAND CLINIC INDIAN RIVER HOSPITAL,100105,FL,READM-30-HIP-KNEE-HRRP,727,,0.9437,4.2700,4.5249,30,07/01/2017,12/01/2019
CLEVELAND CLINIC INDIAN RIVER HOSPITAL,100105,FL,READM-30-PN-HRRP,818,,0.9741,15.5067,15.9182,125,07/01/2017,12/01/2019
DOCTORS MEMORIAL HOSPITAL INC,100106,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
DOCTORS MEMORIAL HOSPITAL INC,100106,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
DOCTORS MEMORIAL HOSPITAL INC,100106,FL,READM-30-COPD-HRRP,64,,1.0346,17.3412,16.7614,14,07/01/2017,12/01/2019
DOCTORS MEMORIAL HOSPITAL INC,100106,FL,READM-30-HF-HRRP,57,,1.0476,21.0241,20.0680,15,07/01/2017,12/01/2019
DOCTORS MEMORIAL HOSPITAL INC,100106,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0439,4.2232,4.0455,Too Few to Report,07/01/2017,12/01/2019
DOCTORS MEMORIAL HOSPITAL INC,100106,FL,READM-30-PN-HRRP,N/A,,1.0012,15.7204,15.7019,Too Few to Report,07/01/2017,12/01/2019
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,READM-30-COPD-HRRP,N/A,,0.9852,19.9013,20.1996,Too Few to Report,07/01/2017,12/01/2019
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,READM-30-HF-HRRP,54,,1.0090,22.9541,22.7491,13,07/01/2017,12/01/2019
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,READM-30-PN-HRRP,159,,0.9341,17.5795,18.8190,23,07/01/2017,12/01/2019
ADVENTHEALTH SEBRING,100109,FL,READM-30-AMI-HRRP,291,,0.8938,16.4170,18.3669,41,07/01/2017,12/01/2019
ADVENTHEALTH SEBRING,100109,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
ADVENTHEALTH SEBRING,100109,FL,READM-30-COPD-HRRP,517,,0.8693,16.8670,19.4027,75,07/01/2017,12/01/2019
ADVENTHEALTH SEBRING,100109,FL,READM-30-HF-HRRP,589,,1.0066,22.8458,22.6971,135,07/01/2017,12/01/2019
ADVENTHEALTH SEBRING,100109,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0496,5.0429,4.8048,Too Few to Report,07/01/2017,12/01/2019
ADVENTHEALTH SEBRING,100109,FL,READM-30-PN-HRRP,753,,0.9548,16.2419,17.0105,119,07/01/2017,12/01/2019
OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,READM-30-AMI-HRRP,201,,1.0314,17.4738,16.9410,37,07/01/2017,12/01/2019
OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,READM-30-CABG-HRRP,N/A,,0.9904,13.5398,13.6704,Too Few to Report,07/01/2017,12/01/2019
OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,READM-30-COPD-HRRP,128,,1.0824,21.7151,20.0627,35,07/01/2017,12/01/2019
OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,READM-30-HF-HRRP,353,,1.2278,27.9751,22.7842,113,07/01/2017,12/01/2019
OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.1941,5.7329,4.8012,Too Few to Report,07/01/2017,12/01/2019
OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,READM-30-PN-HRRP,336,,1.1028,19.0026,17.2319,71,07/01/2017,12/01/2019
UF HEALTH SHANDS HOSPITAL,100113,FL,READM-30-AMI-HRRP,298,,1.1498,17.0241,14.8058,59,07/01/2017,12/01/2019
UF HEALTH SHANDS HOSPITAL,100113,FL,READM-30-CABG-HRRP,67,,1.2624,17.6609,13.9895,17,07/01/2017,12/01/2019
UF HEALTH SHANDS HOSPITAL,100113,FL,READM-30-COPD-HRRP,380,,1.0228,22.8672,22.3567,89,07/01/2017,12/01/2019
UF HEALTH SHANDS HOSPITAL,100113,FL,READM-30-HF-HRRP,712,,1.0252,23.7803,23.1963,171,07/01/2017,12/01/2019
UF HEALTH SHANDS HOSPITAL,100113,FL,READM-30-HIP-KNEE-HRRP,581,,0.8519,3.7632,4.4176,19,07/01/2017,12/01/2019
UF HEALTH SHANDS HOSPITAL,100113,FL,READM-30-PN-HRRP,797,,1.1591,20.4598,17.6513,174,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER  BEACHES,100117,FL,READM-30-AMI-HRRP,N/A,,0.9773,16.7287,17.1175,Too Few to Report,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER  BEACHES,100117,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER  BEACHES,100117,FL,READM-30-COPD-HRRP,207,,1.0850,21.5412,19.8533,52,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER  BEACHES,100117,FL,READM-30-HF-HRRP,316,,0.9977,21.5675,21.6176,68,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER  BEACHES,100117,FL,READM-30-HIP-KNEE-HRRP,359,,1.0244,4.0594,3.9627,15,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER  BEACHES,100117,FL,READM-30-PN-HRRP,460,,1.0573,16.9594,16.0397,82,07/01/2017,12/01/2019
FLORIDA HOSPITAL FLAGLER,100118,FL,READM-30-AMI-HRRP,148,,1.0659,16.3619,15.3505,28,07/01/2017,12/01/2019
FLORIDA HOSPITAL FLAGLER,100118,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
FLORIDA HOSPITAL FLAGLER,100118,FL,READM-30-COPD-HRRP,240,,1.0452,17.1882,16.4456,45,07/01/2017,12/01/2019
FLORIDA HOSPITAL FLAGLER,100118,FL,READM-30-HF-HRRP,421,,1.0614,21.8726,20.6074,96,07/01/2017,12/01/2019
FLORIDA HOSPITAL FLAGLER,100118,FL,READM-30-HIP-KNEE-HRRP,389,,1.0621,4.3507,4.0964,18,07/01/2017,12/01/2019
FLORIDA HOSPITAL FLAGLER,100118,FL,READM-30-PN-HRRP,429,,1.0220,17.1179,16.7492,75,07/01/2017,12/01/2019
BARTOW REGIONAL MEDICAL CENTER,100121,FL,READM-30-AMI-HRRP,48,,1.0467,17.3032,16.5317,11,07/01/2017,12/01/2019
BARTOW REGIONAL MEDICAL CENTER,100121,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
BARTOW REGIONAL MEDICAL CENTER,100121,FL,READM-30-COPD-HRRP,62,,0.9967,18.2170,18.2782,11,07/01/2017,12/01/2019
BARTOW REGIONAL MEDICAL CENTER,100121,FL,READM-30-HF-HRRP,77,,1.0504,24.2245,23.0616,22,07/01/2017,12/01/2019
BARTOW REGIONAL MEDICAL CENTER,100121,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9378,3.4362,3.6643,Too Few to Report,07/01/2017,12/01/2019
BARTOW REGIONAL MEDICAL CENTER,100121,FL,READM-30-PN-HRRP,108,,1.0039,15.4900,15.4303,17,07/01/2017,12/01/2019
NORTH OKALOOSA MEDICAL CENTER,100122,FL,READM-30-AMI-HRRP,79,,0.9670,17.8000,18.4074,12,07/01/2017,12/01/2019
NORTH OKALOOSA MEDICAL CENTER,100122,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
NORTH OKALOOSA MEDICAL CENTER,100122,FL,READM-30-COPD-HRRP,247,,1.0299,21.1994,20.5841,55,07/01/2017,12/01/2019
NORTH OKALOOSA MEDICAL CENTER,100122,FL,READM-30-HF-HRRP,293,,1.0281,25.2861,24.5949,76,07/01/2017,12/01/2019
NORTH OKALOOSA MEDICAL CENTER,100122,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0505,5.1251,4.8786,Too Few to Report,07/01/2017,12/01/2019
NORTH OKALOOSA MEDICAL CENTER,100122,FL,READM-30-PN-HRRP,403,,0.9742,18.0901,18.5686,71,07/01/2017,12/01/2019
SANTA ROSA MEDICAL CENTER,100124,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
SANTA ROSA MEDICAL CENTER,100124,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
SANTA ROSA MEDICAL CENTER,100124,FL,READM-30-COPD-HRRP,284,,1.0896,21.2177,19.4731,68,07/01/2017,12/01/2019
SANTA ROSA MEDICAL CENTER,100124,FL,READM-30-HF-HRRP,119,,1.0197,24.1010,23.6357,30,07/01/2017,12/01/2019
SANTA ROSA MEDICAL CENTER,100124,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0881,3.8032,3.4954,Too Few to Report,07/01/2017,12/01/2019
SANTA ROSA MEDICAL CENTER,100124,FL,READM-30-PN-HRRP,176,,1.0060,16.8014,16.7006,30,07/01/2017,12/01/2019
HOMESTEAD HOSPITAL,100125,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
HOMESTEAD HOSPITAL,100125,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
HOMESTEAD HOSPITAL,100125,FL,READM-30-COPD-HRRP,N/A,,0.9492,17.1206,18.0368,Too Few to Report,07/01/2017,12/01/2019
HOMESTEAD HOSPITAL,100125,FL,READM-30-HF-HRRP,76,,0.9915,23.1286,23.3279,17,07/01/2017,12/01/2019
HOMESTEAD HOSPITAL,100125,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
HOMESTEAD HOSPITAL,100125,FL,READM-30-PN-HRRP,159,,1.0350,16.0866,15.5422,28,07/01/2017,12/01/2019
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-AMI-HRRP,N/A,,1.0103,18.7214,18.5298,Too Few to Report,07/01/2017,12/01/2019
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-COPD-HRRP,134,,1.0268,18.4290,17.9480,27,07/01/2017,12/01/2019
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-HF-HRRP,139,,1.0866,23.3408,21.4807,38,07/01/2017,12/01/2019
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-HIP-KNEE-HRRP,196,,1.3737,6.2451,4.5461,18,07/01/2017,12/01/2019
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-PN-HRRP,240,,1.0453,17.0110,16.2742,44,07/01/2017,12/01/2019
MORTON PLANT HOSPITAL,100127,FL,READM-30-AMI-HRRP,341,,0.9222,15.1771,16.4567,47,07/01/2017,12/01/2019
MORTON PLANT HOSPITAL,100127,FL,READM-30-CABG-HRRP,142,,1.0820,12.9093,11.9314,20,07/01/2017,12/01/2019
MORTON PLANT HOSPITAL,100127,FL,READM-30-COPD-HRRP,379,,1.0042,21.0090,20.9219,80,07/01/2017,12/01/2019
MORTON PLANT HOSPITAL,100127,FL,READM-30-HF-HRRP,805,,0.9281,20.6096,22.2061,161,07/01/2017,12/01/2019
MORTON PLANT HOSPITAL,100127,FL,READM-30-HIP-KNEE-HRRP,1030,,0.8842,4.1966,4.7462,41,07/01/2017,12/01/2019
MORTON PLANT HOSPITAL,100127,FL,READM-30-PN-HRRP,589,,1.0491,17.9176,17.0793,109,07/01/2017,12/01/2019
TAMPA GENERAL HOSPITAL,100128,FL,READM-30-AMI-HRRP,211,,1.0226,17.3649,16.9805,38,07/01/2017,12/01/2019
TAMPA GENERAL HOSPITAL,100128,FL,READM-30-CABG-HRRP,99,,1.0658,15.7325,14.7610,17,07/01/2017,12/01/2019
TAMPA GENERAL HOSPITAL,100128,FL,READM-30-COPD-HRRP,296,,0.9436,21.3981,22.6778,58,07/01/2017,12/01/2019
TAMPA GENERAL HOSPITAL,100128,FL,READM-30-HF-HRRP,735,,0.9465,22.5462,23.8199,162,07/01/2017,12/01/2019
TAMPA GENERAL HOSPITAL,100128,FL,READM-30-HIP-KNEE-HRRP,737,,0.6937,3.0516,4.3989,16,07/01/2017,12/01/2019
TAMPA GENERAL HOSPITAL,100128,FL,READM-30-PN-HRRP,426,,0.9715,18.5760,19.1201,77,07/01/2017,12/01/2019
LAKESIDE MEDICAL CENTER,100130,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKESIDE MEDICAL CENTER,100130,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKESIDE MEDICAL CENTER,100130,FL,READM-30-COPD-HRRP,47,,1.0456,24.9738,23.8849,16,07/01/2017,12/01/2019
LAKESIDE MEDICAL CENTER,100130,FL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKESIDE MEDICAL CENTER,100130,FL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKESIDE MEDICAL CENTER,100130,FL,READM-30-PN-HRRP,50,,1.0268,18.1410,17.6674,11,07/01/2017,12/01/2019
AVENTURA HOSPITAL AND MEDICAL CENTER,100131,FL,READM-30-AMI-HRRP,117,,1.0969,18.2672,16.6537,27,07/01/2017,12/01/2019
AVENTURA HOSPITAL AND MEDICAL CENTER,100131,FL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
AVENTURA HOSPITAL AND MEDICAL CENTER,100131,FL,READM-30-COPD-HRRP,278,,1.0538,21.6609,20.5552,65,07/01/2017,12/01/2019
AVENTURA HOSPITAL AND MEDICAL CENTER,100131,FL,READM-30-HF-HRRP,372,,1.1574,27.3693,23.6471,112,07/01/2017,12/01/2019
AVENTURA HOSPITAL AND MEDICAL CENTER,100131,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.3004,7.2078,5.5426,Too Few to Report,07/01/2017,12/01/2019
AVENTURA HOSPITAL AND MEDICAL CENTER,100131,FL,READM-30-PN-HRRP,590,,1.1136,21.1642,19.0058,133,07/01/2017,12/01/2019
SOUTH FLORIDA BAPTIST HOSPITAL,100132,FL,READM-30-AMI-HRRP,N/A,,1.0114,14.3921,14.2296,Too Few to Report,07/01/2017,12/01/2019
SOUTH FLORIDA BAPTIST HOSPITAL,100132,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
SOUTH FLORIDA BAPTIST HOSPITAL,100132,FL,READM-30-COPD-HRRP,171,,0.9062,17.3114,19.1038,21,07/01/2017,12/01/2019
SOUTH FLORIDA BAPTIST HOSPITAL,100132,FL,READM-30-HF-HRRP,143,,0.8782,19.9388,22.7042,20,07/01/2017,12/01/2019
SOUTH FLORIDA BAPTIST HOSPITAL,100132,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9253,4.8158,5.2043,Too Few to Report,07/01/2017,12/01/2019
SOUTH FLORIDA BAPTIST HOSPITAL,100132,FL,READM-30-PN-HRRP,159,,0.8853,14.8729,16.8007,15,07/01/2017,12/01/2019
ED FRASER MEMORIAL HOSPITAL,100134,FL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
ED FRASER MEMORIAL HOSPITAL,100134,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
ED FRASER MEMORIAL HOSPITAL,100134,FL,READM-30-COPD-HRRP,N/A,,1.0111,18.2326,18.0330,Too Few to Report,07/01/2017,12/01/2019
ED FRASER MEMORIAL HOSPITAL,100134,FL,READM-30-HF-HRRP,N/A,,1.0074,20.6917,20.5390,Too Few to Report,07/01/2017,12/01/2019
ED FRASER MEMORIAL HOSPITAL,100134,FL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
ED FRASER MEMORIAL HOSPITAL,100134,FL,READM-30-PN-HRRP,52,,1.0552,17.5301,16.6133,13,07/01/2017,12/01/2019
TALLAHASSEE MEMORIAL HEALTHCARE,100135,FL,READM-30-AMI-HRRP,308,,1.0273,16.0445,15.6179,51,07/01/2017,12/01/2019
TALLAHASSEE MEMORIAL HEALTHCARE,100135,FL,READM-30-CABG-HRRP,140,,0.9094,11.4280,12.5666,14,07/01/2017,12/01/2019
TALLAHASSEE MEMORIAL HEALTHCARE,100135,FL,READM-30-COPD-HRRP,260,,1.0060,20.1767,20.0555,53,07/01/2017,12/01/2019
TALLAHASSEE MEMORIAL HEALTHCARE,100135,FL,READM-30-HF-HRRP,746,,0.9080,20.1474,22.1880,144,07/01/2017,12/01/2019
TALLAHASSEE MEMORIAL HEALTHCARE,100135,FL,READM-30-HIP-KNEE-HRRP,360,,0.9805,3.9865,4.0660,14,07/01/2017,12/01/2019
TALLAHASSEE MEMORIAL HEALTHCARE,100135,FL,READM-30-PN-HRRP,483,,1.0227,17.2661,16.8826,85,07/01/2017,12/01/2019
ADVENTHEALTH HEART OF FLORIDA,100137,FL,READM-30-AMI-HRRP,111,,1.1114,17.7440,15.9659,26,07/01/2017,12/01/2019
ADVENTHEALTH HEART OF FLORIDA,100137,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
ADVENTHEALTH HEART OF FLORIDA,100137,FL,READM-30-COPD-HRRP,198,,1.0581,19.2234,18.1686,43,07/01/2017,12/01/2019
ADVENTHEALTH HEART OF FLORIDA,100137,FL,READM-30-HF-HRRP,200,,1.0593,22.5875,21.3239,49,07/01/2017,12/01/2019
ADVENTHEALTH HEART OF FLORIDA,100137,FL,READM-30-HIP-KNEE-HRRP,287,,1.0829,4.7267,4.3650,15,07/01/2017,12/01/2019
ADVENTHEALTH HEART OF FLORIDA,100137,FL,READM-30-PN-HRRP,214,,0.9330,15.3732,16.4766,28,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER - NASSAU,100140,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER - NASSAU,100140,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER - NASSAU,100140,FL,READM-30-COPD-HRRP,117,,0.9295,17.3964,18.7167,14,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER - NASSAU,100140,FL,READM-30-HF-HRRP,174,,0.9343,19.7825,21.1747,30,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER - NASSAU,100140,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0391,4.2158,4.0570,Too Few to Report,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER - NASSAU,100140,FL,READM-30-PN-HRRP,240,,0.9158,14.2167,15.5245,28,07/01/2017,12/01/2019
JACKSON HOSPITAL,100142,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
JACKSON HOSPITAL,100142,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
JACKSON HOSPITAL,100142,FL,READM-30-COPD-HRRP,163,,1.0526,18.1543,17.2475,34,07/01/2017,12/01/2019
JACKSON HOSPITAL,100142,FL,READM-30-HF-HRRP,143,,1.0167,20.9223,20.5788,31,07/01/2017,12/01/2019
JACKSON HOSPITAL,100142,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.1065,4.3894,3.9669,Too Few to Report,07/01/2017,12/01/2019
JACKSON HOSPITAL,100142,FL,READM-30-PN-HRRP,300,,1.0759,15.9686,14.8415,53,07/01/2017,12/01/2019
LOWER KEYS MEDICAL CENTER,100150,FL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LOWER KEYS MEDICAL CENTER,100150,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LOWER KEYS MEDICAL CENTER,100150,FL,READM-30-COPD-HRRP,N/A,,0.9634,17.7224,18.3956,Too Few to Report,07/01/2017,12/01/2019
LOWER KEYS MEDICAL CENTER,100150,FL,READM-30-HF-HRRP,121,,1.0410,20.1737,19.3798,27,07/01/2017,12/01/2019
LOWER KEYS MEDICAL CENTER,100150,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9989,3.6822,3.6862,Too Few to Report,07/01/2017,12/01/2019
LOWER KEYS MEDICAL CENTER,100150,FL,READM-30-PN-HRRP,106,,0.9654,13.5954,14.0825,12,07/01/2017,12/01/2019
MAYO CLINIC FLORIDA,100151,FL,READM-30-AMI-HRRP,106,,1.0203,15.8716,15.5558,18,07/01/2017,12/01/2019
MAYO CLINIC FLORIDA,100151,FL,READM-30-CABG-HRRP,N/A,,0.9516,11.9302,12.5371,Too Few to Report,07/01/2017,12/01/2019
MAYO CLINIC FLORIDA,100151,FL,READM-30-COPD-HRRP,171,,0.9526,18.8808,19.8213,28,07/01/2017,12/01/2019
MAYO CLINIC FLORIDA,100151,FL,READM-30-HF-HRRP,535,,0.9958,21.7340,21.8252,116,07/01/2017,12/01/2019
MAYO CLINIC FLORIDA,100151,FL,READM-30-HIP-KNEE-HRRP,843,,1.2445,5.2258,4.1992,48,07/01/2017,12/01/2019
MAYO CLINIC FLORIDA,100151,FL,READM-30-PN-HRRP,579,,1.0364,17.6878,17.0666,105,07/01/2017,12/01/2019
SOUTH MIAMI HOSPITAL,100154,FL,READM-30-AMI-HRRP,168,,1.0453,16.8885,16.1560,31,07/01/2017,12/01/2019
SOUTH MIAMI HOSPITAL,100154,FL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
SOUTH MIAMI HOSPITAL,100154,FL,READM-30-COPD-HRRP,155,,0.9501,17.7075,18.6368,23,07/01/2017,12/01/2019
SOUTH MIAMI HOSPITAL,100154,FL,READM-30-HF-HRRP,295,,1.1089,23.4240,21.1241,76,07/01/2017,12/01/2019
SOUTH MIAMI HOSPITAL,100154,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9725,4.3031,4.4246,Too Few to Report,07/01/2017,12/01/2019
SOUTH MIAMI HOSPITAL,100154,FL,READM-30-PN-HRRP,488,,1.0579,16.5988,15.6898,85,07/01/2017,12/01/2019
LAKE CITY MEDICAL CENTER,100156,FL,READM-30-AMI-HRRP,65,,1.1019,18.6373,16.9140,18,07/01/2017,12/01/2019
LAKE CITY MEDICAL CENTER,100156,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE CITY MEDICAL CENTER,100156,FL,READM-30-COPD-HRRP,391,,1.0120,20.1889,19.9496,80,07/01/2017,12/01/2019
LAKE CITY MEDICAL CENTER,100156,FL,READM-30-HF-HRRP,449,,1.1472,26.3952,23.0085,128,07/01/2017,12/01/2019
LAKE CITY MEDICAL CENTER,100156,FL,READM-30-HIP-KNEE-HRRP,N/A,,1.0569,4.3022,4.0706,Too Few to Report,07/01/2017,12/01/2019
LAKE CITY MEDICAL CENTER,100156,FL,READM-30-PN-HRRP,454,,1.1291,19.2018,17.0069,96,07/01/2017,12/01/2019
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-AMI-HRRP,452,,1.0905,17.4395,15.9923,84,07/01/2017,12/01/2019
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-CABG-HRRP,106,,1.2838,15.6499,12.1904,22,07/01/2017,12/01/2019
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-COPD-HRRP,914,,1.1184,22.4102,20.0377,215,07/01/2017,12/01/2019
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-HF-HRRP,1193,,1.1015,23.6824,21.4997,289,07/01/2017,12/01/2019
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-HIP-KNEE-HRRP,609,,1.1649,4.9647,4.2620,33,07/01/2017,12/01/2019
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-PN-HRRP,979,,1.1528,18.1619,15.7551,188,07/01/2017,12/01/2019
CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,READM-30-AMI-HRRP,196,,0.9946,16.4907,16.5796,32,07/01/2017,12/01/2019
CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,READM-30-CABG-HRRP,62,,1.2333,16.7270,13.5628,15,07/01/2017,12/01/2019
CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,READM-30-COPD-HRRP,160,,0.9810,17.9149,18.2614,27,07/01/2017,12/01/2019
CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,READM-30-HF-HRRP,406,,1.1209,25.4224,22.6797,111,07/01/2017,12/01/2019
CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9703,4.4828,4.6199,Too Few to Report,07/01/2017,12/01/2019
CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,READM-30-PN-HRRP,252,,1.0834,17.5516,16.2011,50,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF SARASOTA,100166,FL,READM-30-AMI-HRRP,128,,1.0114,14.3358,14.1748,19,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF SARASOTA,100166,FL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF SARASOTA,100166,FL,READM-30-COPD-HRRP,163,,0.9239,16.4628,17.8193,20,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF SARASOTA,100166,FL,READM-30-HF-HRRP,397,,0.9871,20.8695,21.1425,82,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF SARASOTA,100166,FL,READM-30-HIP-KNEE-HRRP,1334,,0.9047,3.6572,4.0426,47,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF SARASOTA,100166,FL,READM-30-PN-HRRP,406,,0.9714,16.2754,16.7550,64,07/01/2017,12/01/2019
PLANTATION GENERAL HOSPITAL,100167,FL,READM-30-AMI-HRRP,61,,1.0412,18.8732,18.1257,14,07/01/2017,12/01/2019
PLANTATION GENERAL HOSPITAL,100167,FL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2017,12/01/2019
PLANTATION GENERAL HOSPITAL,100167,FL,READM-30-COPD-HRRP,144,,1.0206,20.9452,20.5225,32,07/01/2017,12/01/2019
PLANTATION GENERAL HOSPITAL,100167,FL,READM-30-HF-HRRP,326,,1.1258,26.0370,23.1275,93,07/01/2017,12/01/2019
PLANTATION GENERAL HOSPITAL,100167,FL,READM-30-HIP-KNEE-HRRP,N/A,,0.9716,5.1174,5.2670,Too Few to Report,07/01/2017,12/01/2019
