"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Start Date","PSI 90 End Date","PSI 90 W Z Score","PSI 90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
MEMORIAL UNIVERSITY MEDICAL CENTER,110036,GA,2022,07/01/2018,12/31/2019,0.3640,,-0.1987,,0.1436,,0.7171,,-0.4929,,1.0999,,01/01/2019,12/31/2019,0.2722,,No,
JOHN D ARCHBOLD MEMORIAL HOSPITAL,110038,GA,2022,07/01/2018,12/31/2019,2.3958,,2.1719,,0.4854,,-0.8634,,-0.1629,,0.1784,,01/01/2019,12/31/2019,0.7009,,Yes,
HABERSHAM COUNTY MEDICAL CTR,110041,GA,2022,07/01/2018,12/31/2019,-0.3294,,N/A,5,N/A,5,N/A,5,N/A,5,-0.5096,,01/01/2019,12/31/2019,-0.4195,,No,
WELLSTAR PAULDING HOSPITAL,110042,GA,2022,07/01/2018,12/31/2019,-0.9305,,0.3329,,-1.4169,,0.4109,,1.1374,,-0.9028,,01/01/2019,12/31/2019,-0.2282,,No,
ST JOSEPH'S HOSPITAL - SAVANNAH,110043,GA,2022,07/01/2018,12/31/2019,0.0392,,-0.8641,,0.1456,,0.1452,,-0.7888,,1.3763,,01/01/2019,12/31/2019,0.0089,,No,
PHOEBE SUMTER MEDICAL CENTER,110044,GA,2022,07/01/2018,12/31/2019,1.6445,,N/A,5,N/A,5,-1.3575,,N/A,5,0.5347,,01/01/2019,12/31/2019,0.2739,,No,
BARROW REGIONAL MEDICAL CENTER,110045,GA,2022,07/01/2018,12/31/2019,-0.1102,,N/A,5,N/A,5,N/A,5,N/A,5,1.0599,,01/01/2019,12/31/2019,0.4749,,Yes,
PIEDMONT WALTON HOSPITAL,110046,GA,2022,07/01/2018,12/31/2019,-0.3902,,N/A,5,N/A,5,2.0963,,N/A,5,-1.6615,,01/01/2019,12/31/2019,0.0149,,No,
ADVENTHEALTH MURRAY,110050,GA,2022,07/01/2018,12/31/2019,-0.0134,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.0134,,No,
UNION GENERAL HOSPITAL,110051,GA,2022,07/01/2018,12/31/2019,-0.7074,,N/A,5,N/A,5,N/A,5,N/A,5,1.1951,,01/01/2019,12/31/2019,0.2438,,No,
FLOYD MEDICAL CENTER,110054,GA,2022,07/01/2018,12/31/2019,-1.4951,,0.8488,,0.3688,,0.4176,,0.7285,,0.4917,,01/01/2019,12/31/2019,0.2267,,No,
PIEDMONT COLUMBUS REGIONAL MIDTOWN,110064,GA,2022,07/01/2018,12/31/2019,0.9943,,0.3231,,1.3059,,0.8593,,2.1722,,-0.1165,,01/01/2019,12/31/2019,0.9230,,Yes,
HOUSTON MEDICAL CENTER,110069,GA,2022,07/01/2018,12/31/2019,0.3745,,0.1557,,-0.6930,,-1.3575,,0.2712,,0.4487,,01/01/2019,12/31/2019,-0.1334,,No,
APPLING HOSPITAL,110071,GA,2022,07/01/2018,12/31/2019,0.0127,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0127,,No,
DORMINY MEDICAL CENTER,110073,GA,2022,07/01/2018,12/31/2019,0.4594,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.6010,,No,
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,110074,GA,2022,07/01/2018,12/31/2019,-1.0235,,-0.4566,,-0.6608,,0.1384,,-0.7619,,-0.8414,,01/01/2019,12/31/2019,-0.6010,,No,
EAST GEORGIA REGIONAL MEDICAL CENTER,110075,GA,2022,07/01/2018,12/31/2019,-0.6960,,-1.2914,,0.5719,,-1.3575,,-1.4021,,-1.0994,,01/01/2019,12/31/2019,-0.8791,,No,
EMORY DECATUR HOSPITAL,110076,GA,2022,07/01/2018,12/31/2019,2.3958,,-0.6791,,-0.5884,,0.6478,,0.1241,,1.9353,,01/01/2019,12/31/2019,0.6392,,Yes,
EMORY UNIVERSITY HOSPITAL MIDTOWN,110078,GA,2022,07/01/2018,12/31/2019,1.4228,,-0.3050,,-0.7875,,-0.1730,,-0.2758,,0.3197,,01/01/2019,12/31/2019,0.0335,,No,
GRADY MEMORIAL HOSPITAL,110079,GA,2022,07/01/2018,12/31/2019,1.5541,,0.9945,,-0.1923,,1.0285,,0.3268,,0.0002,,01/01/2019,12/31/2019,0.6186,,Yes,
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",110082,GA,2022,07/01/2018,12/31/2019,0.1362,,-0.0845,,0.7971,,-0.0782,,-0.8390,,-0.6694,,01/01/2019,12/31/2019,-0.1229,,No,
PIEDMONT HOSPITAL,110083,GA,2022,07/01/2018,12/31/2019,1.2140,,0.5003,,-0.9967,,1.1791,,-0.0301,,-1.0533,,01/01/2019,12/31/2019,0.1355,,No,
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,110086,GA,2022,07/01/2018,12/31/2019,0.0550,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0550,,No,
NORTHSIDE HOSPITAL GWINNETT,110087,GA,2022,07/01/2018,12/31/2019,2.3958,,-0.0057,,0.2280,,-0.2508,,0.1277,,-0.0120,,01/01/2019,12/31/2019,0.4138,,Yes,
"COFFEE REGIONAL MEDICAL CENTER, INC",110089,GA,2022,07/01/2018,12/31/2019,0.3032,,-1.2914,,-0.4457,,-1.3575,,N/A,5,1.8155,,01/01/2019,12/31/2019,-0.1951,,No,
PIEDMONT ROCKDALE HOSPITAL,110091,GA,2022,07/01/2018,12/31/2019,0.0524,,-0.0077,,-0.1702,,0.9371,,1.6055,,-1.4372,,01/01/2019,12/31/2019,0.1633,,No,
DODGE COUNTY HOSPITAL,110092,GA,2022,07/01/2018,12/31/2019,1.4839,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,1.7833,,Yes,
TIFT REGIONAL MEDICAL CENTER,110095,GA,2022,07/01/2018,12/31/2019,-1.0605,,2.0380,,-0.9404,,-1.3575,,2.1722,,-0.9151,,01/01/2019,12/31/2019,-0.0105,,No,
JEFFERSON HOSPITAL,110100,GA,2022,07/01/2018,12/31/2019,0.0195,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0195,,No,
COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,110101,GA,2022,07/01/2018,12/31/2019,0.0918,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0918,,No,
CRISP REGIONAL HOSPITAL,110104,GA,2022,07/01/2018,12/31/2019,-0.0444,,-1.2914,,-0.1199,,N/A,5,N/A,5,1.0661,,01/01/2019,12/31/2019,-0.0974,,No,
COLQUITT REGIONAL MEDICAL CENTER,110105,GA,2022,07/01/2018,12/31/2019,-0.1700,,-1.2914,,-0.4034,,-1.3575,,-0.1073,,0.5501,,01/01/2019,12/31/2019,-0.4632,,No,
ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,110107,GA,2022,07/01/2018,12/31/2019,2.1110,,0.1006,,-0.8157,,0.4515,,1.4315,,-0.3991,,01/01/2019,12/31/2019,0.4800,,Yes,
EMANUEL MEDICAL CENTER,110109,GA,2022,07/01/2018,12/31/2019,-0.0875,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8745,,No,
UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER,110111,GA,2022,07/01/2018,12/31/2019,-0.1098,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8856,,No,
BURKE MEDICAL CENTER,110113,GA,2022,07/01/2018,12/31/2019,0.0930,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0930,,No,
WELLSTAR ATLANTA MEDICAL CENTER,110115,GA,2022,07/01/2018,12/31/2019,0.2813,,0.1183,,-0.0736,,0.8441,,2.1722,,-1.5847,,01/01/2019,12/31/2019,0.2929,,No,
GRADY GENERAL HOSPITAL,110121,GA,2022,07/01/2018,12/31/2019,-0.1196,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.8905,,No,
SOUTH GEORGIA MEDICAL CENTER,110122,GA,2022,07/01/2018,12/31/2019,0.9793,,-0.0077,,-0.0153,,-0.6485,,0.1044,,-0.6079,,01/01/2019,12/31/2019,-0.0326,,No,
WAYNE MEMORIAL HOSPITAL,110124,GA,2022,07/01/2018,12/31/2019,-0.2678,,N/A,5,0.2059,,N/A,5,N/A,5,-0.3714,,01/01/2019,12/31/2019,-0.1445,,No,
FAIRVIEW PARK HOSPITAL,110125,GA,2022,07/01/2018,12/31/2019,-0.7621,,0.6105,,0.5156,,-1.3575,,2.0305,,0.0064,,01/01/2019,12/31/2019,0.1739,,No,
MEMORIAL HEALTH MEADOWS HOSPITAL,110128,GA,2022,07/01/2018,12/31/2019,0.3795,,N/A,5,-1.4169,,-1.3575,,N/A,5,1.5545,,01/01/2019,12/31/2019,-0.2101,,No,
ST FRANCIS HOSPITAL- EMORY HEALTHCARE,110129,GA,2022,07/01/2018,12/31/2019,0.3457,,1.6422,,-1.1857,,0.3482,,1.2002,,-0.1410,,01/01/2019,12/31/2019,0.3683,,Yes,
IRWIN COUNTY HOSPITAL,110130,GA,2022,07/01/2018,12/31/2019,0.0943,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0943,,No,
MEMORIAL HOSPITAL AND MANOR,110132,GA,2022,07/01/2018,12/31/2019,-0.2567,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.9591,,No,
TAYLOR REGIONAL HOSPITAL,110135,GA,2022,07/01/2018,12/31/2019,-0.2234,,N/A,5,N/A,5,N/A,5,N/A,5,-0.1595,,01/01/2019,12/31/2019,-0.1915,,No,
EVANS MEMORIAL HOSPITAL,110142,GA,2022,07/01/2018,12/31/2019,0.0590,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0590,,No,
WELLSTAR COBB HOSPITAL,110143,GA,2022,07/01/2018,12/31/2019,-0.9930,,0.2699,,1.2013,,-0.5723,,-0.0606,,-1.1055,,01/01/2019,12/31/2019,-0.2100,,No,
SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,110146,GA,2022,07/01/2018,12/31/2019,-0.2297,,N/A,5,N/A,5,N/A,5,N/A,5,1.4899,,01/01/2019,12/31/2019,0.6301,,Yes,
NAVICENT HEALTH BALDWIN,110150,GA,2022,07/01/2018,12/31/2019,0.6434,,-1.2914,,-0.2043,,N/A,5,N/A,5,0.5838,,01/01/2019,12/31/2019,-0.0671,,No,
PERRY HOSPITAL,110153,GA,2022,07/01/2018,12/31/2019,-0.4169,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-1.0392,,No,
NORTHSIDE HOSPITAL,110161,GA,2022,07/01/2018,12/31/2019,1.4797,,-0.9783,,-0.4135,,-0.3997,,-0.6381,,-0.4052,,01/01/2019,12/31/2019,-0.2259,,No,
"COLISEUM MEDICAL CENTERS, LLC, DBA",110164,GA,2022,07/01/2018,12/31/2019,-1.4130,,-0.8878,,-0.4698,,-0.2322,,-0.6148,,-0.7001,,01/01/2019,12/31/2019,-0.7196,,No,
SOUTHERN REGIONAL MEDICAL CENTER,110165,GA,2022,07/01/2018,12/31/2019,-1.1659,,0.7129,,-1.4169,,-0.5080,,0.9563,,-1.1055,,01/01/2019,12/31/2019,-0.4212,,No,
REDMOND REGIONAL MEDICAL CENTER,110168,GA,2022,07/01/2018,12/31/2019,-1.4342,,-0.3660,,-0.1601,,-0.2779,,0.6747,,-0.6786,,01/01/2019,12/31/2019,-0.3737,,No,
DOCTORS HOSPITAL,110177,GA,2022,07/01/2018,12/31/2019,0.8786,,-0.7066,,-1.0510,,-1.1070,,-0.1933,,-0.9888,,01/01/2019,12/31/2019,-0.5280,,No,
WELLSTAR DOUGLAS HOSPITAL,110184,GA,2022,07/01/2018,12/31/2019,-0.8156,,0.7208,,2.1585,,0.9777,,-1.4021,,-1.1393,,01/01/2019,12/31/2019,0.0833,,No,
FANNIN REGIONAL HOSPITAL,110189,GA,2022,07/01/2018,12/31/2019,-0.2188,,N/A,5,N/A,5,N/A,5,N/A,5,-0.3161,,01/01/2019,12/31/2019,-0.2674,,No,
FLINT RIVER COMMUNITY HOSPITAL,110190,GA,2022,07/01/2018,12/31/2019,0.1248,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.1248,,No,
PIEDMONT HENRY HOSPITAL,110191,GA,2022,07/01/2018,12/31/2019,0.2936,,0.1262,,-0.9846,,-0.5503,,0.7410,,-1.5601,,01/01/2019,12/31/2019,-0.3224,,No,
EASTSIDE MEDICAL CENTER,110192,GA,2022,07/01/2018,12/31/2019,-0.0829,,1.8332,,0.8655,,0.7628,,-0.5144,,-0.8014,,01/01/2019,12/31/2019,0.3438,,Yes,
DONALSONVILLE HOSPITAL INC,110194,GA,2022,07/01/2018,12/31/2019,0.1203,,N/A,5,N/A,5,N/A,5,N/A,5,0.6115,,01/01/2019,12/31/2019,0.3659,,Yes,
WELLSTAR NORTH FULTON HOSPITAL,110198,GA,2022,07/01/2018,12/31/2019,-0.9993,,-0.4448,,-0.0314,,2.0963,,-1.4021,,-1.4895,,01/01/2019,12/31/2019,-0.3785,,No,
PIEDMONT COLUMBUS REGIONAL NORTHSIDE,110200,GA,2022,07/01/2018,12/31/2019,-0.1761,,N/A,5,-1.4169,,-0.4742,,N/A,5,0.5101,,01/01/2019,12/31/2019,-0.3893,,No,
COLISEUM NORTHSIDE HOSPITAL,110201,GA,2022,07/01/2018,12/31/2019,-1.3239,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-1.4927,,No,
TURNING POINT HOSPITAL,110209,GA,2022,07/01/2018,12/31/2019,-0.2479,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.9547,,No,
PIEDMONT FAYETTE HOSPITAL,110215,GA,2022,07/01/2018,12/31/2019,1.4855,,0.6322,,-0.5241,,1.3957,,0.0524,,-1.3789,,01/01/2019,12/31/2019,0.2771,,No,
PIEDMONT MOUNTAINSIDE HOSPITAL INC,110225,GA,2022,07/01/2018,12/31/2019,-0.9959,,-1.2914,,N/A,5,-1.3575,,N/A,5,-1.6615,,01/01/2019,12/31/2019,-1.3266,,No,
EMORY HILLANDALE HOSPITAL,110226,GA,2022,07/01/2018,12/31/2019,0.8790,,0.1420,,-1.4169,,0.3009,,0.2335,,-0.0550,,01/01/2019,12/31/2019,0.0139,,No,
"PIEDMONT NEWNAN HOSPITAL, INC",110229,GA,2022,07/01/2018,12/31/2019,-0.6194,,-0.3581,,-1.4169,,0.7239,,-1.4021,,-1.6615,,01/01/2019,12/31/2019,-0.7890,,No,
EMORY JOHNS CREEK HOSPITAL,110230,GA,2022,07/01/2018,12/31/2019,-1.4949,,-0.6850,,1.6156,,-0.0359,,-0.2938,,-0.5250,,01/01/2019,12/31/2019,-0.2365,,No,
SOUTHEASTERN REGIONAL MEDICAL CENTER,110233,GA,2022,07/01/2018,12/31/2019,-0.1481,,N/A,5,N/A,5,-1.0444,,N/A,5,-0.3868,,01/01/2019,12/31/2019,-0.5264,,No,
SGMC BERRIEN CAMPUS,110234,GA,2022,07/01/2018,12/31/2019,0.1011,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.1011,,No,
CHI MEMORIAL HOSPITAL- GEORGIA,110236,GA,2022,07/01/2018,12/31/2019,0.0559,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0559,,No,
NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,110237,GA,2022,07/01/2018,12/31/2019,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,N/A,5,No,
THE QUEENS MEDICAL CENTER,120001,HI,2022,07/01/2018,12/31/2019,-1.3515,,-0.9960,,-0.6548,,1.1063,,-0.4982,,0.0064,,01/01/2019,12/31/2019,-0.3980,,No,
MAUI MEMORIAL MEDICAL CENTER,120002,HI,2022,07/01/2018,12/31/2019,-0.0400,,-0.0018,,1.4286,,0.5107,,-0.5162,,0.1262,,01/01/2019,12/31/2019,0.2512,,No,
WAHIAWA GENERAL HOSPITAL,120004,HI,2022,07/01/2018,12/31/2019,-0.1605,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.9110,,No,
HILO MEDICAL CENTER,120005,HI,2022,07/01/2018,12/31/2019,0.6638,,-1.2914,,-0.3532,,-0.5960,,-1.4021,,-0.3131,,01/01/2019,12/31/2019,-0.5486,,No,
ADVENTIST HEALTH CASTLE,120006,HI,2022,07/01/2018,12/31/2019,0.7258,,-0.0864,,-0.0998,,-1.3575,,0.0147,,-1.0103,,01/01/2019,12/31/2019,-0.3022,,No,
KUAKINI MEDICAL CENTER,120007,HI,2022,07/01/2018,12/31/2019,1.3851,,-1.2914,,0.6443,,N/A,5,-1.4021,,0.0893,,01/01/2019,12/31/2019,-0.1150,,No,
KAISER FOUNDATION HOSPITAL,120011,HI,2022,07/01/2018,12/31/2019,-0.1220,,-0.3640,,0.2260,,-1.3575,,0.1510,,1.6896,,01/01/2019,12/31/2019,0.0372,,No,
WILCOX MEMORIAL HOSPITAL,120014,HI,2022,07/01/2018,12/31/2019,-0.1217,,1.4532,,0.0028,,-0.0579,,N/A,5,-0.7799,,01/01/2019,12/31/2019,0.0993,,No,
KONA COMMUNITY HOSPITAL,120019,HI,2022,07/01/2018,12/31/2019,-0.3416,,0.1577,,1.7503,,N/A,5,-1.4021,,0.1784,,01/01/2019,12/31/2019,0.0685,,No,
STRAUB CLINIC AND HOSPITAL,120022,HI,2022,07/01/2018,12/31/2019,-1.1595,,-1.2914,,-1.4169,,-1.3575,,0.6962,,0.2214,,01/01/2019,12/31/2019,-0.7179,,No,
PALI MOMI MEDICAL CENTER,120026,HI,2022,07/01/2018,12/31/2019,-1.4951,,-0.8228,,-1.4169,,-1.3575,,-1.4021,,-1.6615,,01/01/2019,12/31/2019,-1.3593,,No,
"NORTH HAWAII COMMUNITY HOSPITAL, INC",120028,HI,2022,07/01/2018,12/31/2019,-0.5155,,N/A,5,N/A,5,0.3279,,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.6163,,No,
ST LUKES MAGIC VALLEY MEDICAL CENTER,130002,ID,2022,07/01/2018,12/31/2019,-0.2825,,-0.7992,,-0.3753,,-0.0782,,-1.4021,,-0.4144,,01/01/2019,12/31/2019,-0.5586,,No,
ST JOSEPH REGIONAL MEDICAL CENTER,130003,ID,2022,07/01/2018,12/31/2019,1.3433,,-1.2914,,-1.4169,,2.0861,,N/A,5,-0.7369,,01/01/2019,12/31/2019,-0.0032,,No,
ST LUKE'S REGIONAL MEDICAL CENTER,130006,ID,2022,07/01/2018,12/31/2019,0.0661,,0.3605,,0.1013,,0.7121,,-0.7726,,1.0384,,01/01/2019,12/31/2019,0.2510,,No,
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,130007,ID,2022,07/01/2018,12/31/2019,-0.1901,,-0.6672,,0.2381,,0.2281,,-0.7959,,-0.3131,,01/01/2019,12/31/2019,-0.2500,,No,
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,130013,ID,2022,07/01/2018,12/31/2019,-0.0516,,-0.5590,,-0.8096,,-0.4132,,0.3088,,0.0033,,01/01/2019,12/31/2019,-0.2536,,No,
WEST VALLEY MEDICAL CENTER,130014,ID,2022,07/01/2018,12/31/2019,-1.0073,,N/A,5,N/A,5,-0.3625,,N/A,5,-1.0287,,01/01/2019,12/31/2019,-0.7995,,No,
EASTERN IDAHO REGIONAL MEDICAL CENTER,130018,ID,2022,07/01/2018,12/31/2019,-1.3136,,-0.3050,,1.4145,,-0.3540,,-1.4021,,1.7664,,01/01/2019,12/31/2019,-0.0323,,No,
MADISON MEMORIAL HOSPITAL,130025,ID,2022,07/01/2018,12/31/2019,-0.6299,,N/A,5,N/A,5,N/A,5,N/A,5,-0.8444,,01/01/2019,12/31/2019,-0.7372,,No,
PORTNEUF MEDICAL CENTER,130028,ID,2022,07/01/2018,12/31/2019,-0.2511,,-0.8267,,-0.0857,,-0.1391,,-0.2741,,0.4425,,01/01/2019,12/31/2019,-0.1890,,No,
KOOTENAI HEALTH,130049,ID,2022,07/01/2018,12/31/2019,1.8057,,-0.6318,,-0.4819,,0.6968,,-1.4021,,0.0432,,01/01/2019,12/31/2019,0.0050,,No,
TREASURE VALLEY HOSPITAL,130063,ID,2022,07/01/2018,12/31/2019,-0.3238,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.3238,,No,
MOUNTAIN VIEW HOSPITAL,130065,ID,2022,07/01/2018,12/31/2019,-0.4281,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.4281,,No,
NORTHWEST SPECIALTY HOSPITAL,130066,ID,2022,07/01/2018,12/31/2019,-0.6301,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.6301,,No,
ST LUKE'S NAMPA MEDICAL CENTER,130071,ID,2022,07/01/2018,12/31/2019,-0.2552,,N/A,5,N/A,5,0.0420,,N/A,5,0.6483,,01/01/2019,12/31/2019,0.1450,,No,
GROVE CREEK MEDICAL CENTER,130073,ID,2022,07/01/2018,12/31/2019,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,N/A,5,No,
"IDAHO FALLS COMMUNITY HOSPITAL, LLC",130074,ID,2022,07/01/2018,12/31/2019,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,N/A,5,No,
GRAHAM HOSPITAL ASSOCIATION,140001,IL,2022,07/01/2018,12/31/2019,-0.7634,,N/A,5,N/A,5,N/A,5,N/A,5,0.4886,,01/01/2019,12/31/2019,-0.1374,,No,
ALTON MEMORIAL HOSPITAL,140002,IL,2022,07/01/2018,12/31/2019,0.4570,,-1.2914,,-0.6407,,0.5513,,-0.1234,,0.5746,,01/01/2019,12/31/2019,-0.0788,,No,
PRESENCE SAINT JOSEPH MEDICAL CENTER,140007,IL,2022,07/01/2018,12/31/2019,0.3345,,-0.2085,,2.1907,,0.1655,,-0.9430,,-1.0011,,01/01/2019,12/31/2019,0.0897,,No,
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,140008,IL,2022,07/01/2018,12/31/2019,-1.0247,,0.0514,,-0.9685,,-0.5165,,-0.0822,,-1.0410,,01/01/2019,12/31/2019,-0.5969,,No,
NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,140010,IL,2022,07/01/2018,12/31/2019,2.3958,,-0.9488,,0.0249,,-0.5571,,0.5832,,-0.5066,,01/01/2019,12/31/2019,0.1652,,No,
HERRIN HOSPITAL,140011,IL,2022,07/01/2018,12/31/2019,-0.7523,,-0.5412,,-0.4457,,N/A,5,2.1722,,2.0828,,01/01/2019,12/31/2019,0.5032,,Yes,
KATHERINE SHAW BETHEA HOSPITAL,140012,IL,2022,07/01/2018,12/31/2019,-0.8637,,N/A,5,N/A,5,2.0963,,N/A,5,0.4518,,01/01/2019,12/31/2019,0.5615,,Yes,
PROCTOR HOSPITAL,140013,IL,2022,07/01/2018,12/31/2019,-0.2720,,-1.2914,,-1.4169,,N/A,5,N/A,5,-0.4144,,01/01/2019,12/31/2019,-0.8487,,No,
BLESSING HOSPITAL,140015,IL,2022,07/01/2018,12/31/2019,-0.2487,,0.5357,,-0.3954,,0.2552,,-0.2776,,0.4579,,01/01/2019,12/31/2019,0.0545,,No,
MT SINAI HOSPITAL MEDICAL CENTER,140018,IL,2022,07/01/2018,12/31/2019,0.6619,,0.9118,,0.7388,,0.2602,,-0.2974,,0.5808,,01/01/2019,12/31/2019,0.4760,,Yes,
HSHS GOOD SHEPHERD HOSPITAL,140019,IL,2022,07/01/2018,12/31/2019,0.0132,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0132,,No,
COPLEY MEMORIAL HOSPITAL,140029,IL,2022,07/01/2018,12/31/2019,-0.5163,,-0.3089,,-0.9967,,-0.4082,,-0.6632,,0.6944,,01/01/2019,12/31/2019,-0.3665,,No,
ADVOCATE SHERMAN HOSPITAL,140030,IL,2022,07/01/2018,12/31/2019,0.8991,,-0.3050,,-1.0087,,-0.4674,,-1.4021,,0.1845,,01/01/2019,12/31/2019,-0.3499,,No,
ST ANTHONYS MEMORIAL HOSPITAL,140032,IL,2022,07/01/2018,12/31/2019,1.6897,,-1.2914,,-1.4169,,-1.3575,,N/A,5,0.4118,,01/01/2019,12/31/2019,-0.3929,,No,
SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,140034,IL,2022,07/01/2018,12/31/2019,-0.7570,,N/A,5,0.2039,,N/A,5,N/A,5,-0.8813,,01/01/2019,12/31/2019,-0.4781,,No,
GALESBURG COTTAGE HOSPITAL,140040,IL,2022,07/01/2018,12/31/2019,1.2499,,N/A,5,N/A,5,N/A,5,N/A,5,-0.6049,,01/01/2019,12/31/2019,0.3225,,Yes,
CGH MEDICAL CENTER,140043,IL,2022,07/01/2018,12/31/2019,-0.0828,,-1.2914,,-0.3994,,-1.3575,,N/A,5,1.1306,,01/01/2019,12/31/2019,-0.4001,,No,
SSM HEALTH - GOOD SAMARITAN HOSPITAL,140046,IL,2022,07/01/2018,12/31/2019,1.9828,,-0.5353,,-0.7795,,-0.6417,,-1.4021,,-0.7646,,01/01/2019,12/31/2019,-0.3567,,No,
ADVOCATE TRINITY HOSPITAL,140048,IL,2022,07/01/2018,12/31/2019,-0.9024,,0.1833,,0.0108,,-0.2356,,-1.4021,,0.3995,,01/01/2019,12/31/2019,-0.3244,,No,
WEST SUBURBAN MEDICAL CENTER,140049,IL,2022,07/01/2018,12/31/2019,0.1193,,1.1303,,-0.4718,,-0.4995,,-1.4021,,-0.1257,,01/01/2019,12/31/2019,-0.2083,,No,
OSF SAINT ANTHONY'S HEALTH CENTER,140052,IL,2022,07/01/2018,12/31/2019,-0.2515,,0.2502,,0.0752,,N/A,5,N/A,5,0.4794,,01/01/2019,12/31/2019,0.1383,,No,
ST JOHNS HOSPITAL,140053,IL,2022,07/01/2018,12/31/2019,2.3958,,-0.8740,,-0.5925,,0.7899,,-0.5395,,-0.4083,,01/01/2019,12/31/2019,0.1286,,No,
MACNEAL  HOSPITAL,140054,IL,2022,07/01/2018,12/31/2019,-0.0190,,0.1400,,-1.4169,,-0.4691,,-0.2615,,-0.3284,,01/01/2019,12/31/2019,-0.3925,,No,
PASSAVANT AREA HOSPITAL,140058,IL,2022,07/01/2018,12/31/2019,-0.7913,,N/A,5,-1.4169,,1.3822,,N/A,5,2.0090,,01/01/2019,12/31/2019,0.2957,,No,
JERSEY COMMUNITY HOSPITAL,140059,IL,2022,07/01/2018,12/31/2019,-0.1636,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.1636,,No,
